📝 Logging started: resnet152_pdt_20260218_172048.log
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: resnet152 | Dataset: cifar100

[Stage 1] Analyzing Residual Topology for resnet via PyTorch FX...

==================== Final Topology Groups ====================
 Group  1 | Channels:  256 | Layers: layer1.0.conv3 ... (2 layers)
 Group  2 | Channels:  256 | Layers: layer1.0.conv3 ... (3 layers)
 Group  3 | Channels:  256 | Layers: layer1.0.conv3 ... (4 layers)
 Group  4 | Channels:  512 | Layers: layer2.0.conv3 ... (2 layers)
 Group  5 | Channels:  512 | Layers: layer2.0.conv3 ... (3 layers)
 Group  6 | Channels:  512 | Layers: layer2.0.conv3 ... (4 layers)
 Group  7 | Channels:  512 | Layers: layer2.0.conv3 ... (5 layers)
 Group  8 | Channels:  512 | Layers: layer2.0.conv3 ... (6 layers)
 Group  9 | Channels:  512 | Layers: layer2.0.conv3 ... (7 layers)
 Group 10 | Channels:  512 | Layers: layer2.0.conv3 ... (8 layers)
 Group 11 | Channels:  512 | Layers: layer2.0.conv3 ... (9 layers)
 Group 12 | Channels: 1024 | Layers: layer3.0.conv3 ... (2 layers)
 Group 13 | Channels: 1024 | Layers: layer3.0.conv3 ... (3 layers)
 Group 14 | Channels: 1024 | Layers: layer3.0.conv3 ... (4 layers)
 Group 15 | Channels: 1024 | Layers: layer3.0.conv3 ... (5 layers)
 Group 16 | Channels: 1024 | Layers: layer3.0.conv3 ... (6 layers)
 Group 17 | Channels: 1024 | Layers: layer3.0.conv3 ... (7 layers)
 Group 18 | Channels: 1024 | Layers: layer3.0.conv3 ... (8 layers)
 Group 19 | Channels: 1024 | Layers: layer3.0.conv3 ... (9 layers)
 Group 20 | Channels: 1024 | Layers: layer3.0.conv3 ... (10 layers)
 Group 21 | Channels: 1024 | Layers: layer3.0.conv3 ... (11 layers)
 Group 22 | Channels: 1024 | Layers: layer3.0.conv3 ... (12 layers)
 Group 23 | Channels: 1024 | Layers: layer3.0.conv3 ... (13 layers)
 Group 24 | Channels: 1024 | Layers: layer3.0.conv3 ... (14 layers)
 Group 25 | Channels: 1024 | Layers: layer3.0.conv3 ... (15 layers)
 Group 26 | Channels: 1024 | Layers: layer3.0.conv3 ... (16 layers)
 Group 27 | Channels: 1024 | Layers: layer3.0.conv3 ... (17 layers)
 Group 28 | Channels: 1024 | Layers: layer3.0.conv3 ... (18 layers)
 Group 29 | Channels: 1024 | Layers: layer3.0.conv3 ... (19 layers)
 Group 30 | Channels: 1024 | Layers: layer3.0.conv3 ... (20 layers)
 Group 31 | Channels: 1024 | Layers: layer3.0.conv3 ... (21 layers)
 Group 32 | Channels: 1024 | Layers: layer3.0.conv3 ... (22 layers)
 Group 33 | Channels: 1024 | Layers: layer3.0.conv3 ... (23 layers)
 Group 34 | Channels: 1024 | Layers: layer3.0.conv3 ... (24 layers)
 Group 35 | Channels: 1024 | Layers: layer3.0.conv3 ... (25 layers)
 Group 36 | Channels: 1024 | Layers: layer3.0.conv3 ... (26 layers)
 Group 37 | Channels: 1024 | Layers: layer3.0.conv3 ... (27 layers)
 Group 38 | Channels: 1024 | Layers: layer3.0.conv3 ... (28 layers)
 Group 39 | Channels: 1024 | Layers: layer3.0.conv3 ... (29 layers)
 Group 40 | Channels: 1024 | Layers: layer3.0.conv3 ... (30 layers)
 Group 41 | Channels: 1024 | Layers: layer3.0.conv3 ... (31 layers)
 Group 42 | Channels: 1024 | Layers: layer3.0.conv3 ... (32 layers)
 Group 43 | Channels: 1024 | Layers: layer3.0.conv3 ... (33 layers)
 Group 44 | Channels: 1024 | Layers: layer3.0.conv3 ... (34 layers)
 Group 45 | Channels: 1024 | Layers: layer3.0.conv3 ... (35 layers)
 Group 46 | Channels: 1024 | Layers: layer3.0.conv3 ... (36 layers)
 Group 47 | Channels: 1024 | Layers: layer3.0.conv3 ... (37 layers)
 Group 48 | Channels: 2048 | Layers: layer4.0.conv3 ... (2 layers)
 Group 49 | Channels: 2048 | Layers: layer4.0.conv3 ... (3 layers)
 Group 50 | Channels: 2048 | Layers: layer4.0.conv3 ... (4 layers)
===============================================================
[*] Total 50 groups identified.


[Pruner Init] Identified 50 groups for pruning.
[*] Applied Min Survival Guarantee: 10.0%
[System] Initializing PDTPruner (Stable Version)

>>> Strategy: PDT | Total Epochs: 200
>>> Pruning starts at Epoch 40, every 10 epochs.
Epoch 1/200 | Loss: 4.3913 | Val Acc: 7.91% | Peak VRAM: 3895.78 MB
 Group  8 |  512/ 512 |     0.0% | Hessian: 0.029988
 Group  9 |  512/ 512 |     0.0% | Hessian: 0.029988
 Group 10 |  512/ 512 |     0.0% | Hessian: 0.029988
 Group 11 |  512/ 512 |     0.0% | Hessian: 0.029988
 Group 12 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 13 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 14 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 15 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 16 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 17 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 18 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 19 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 20 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 21 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 22 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 23 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 24 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 25 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 26 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 27 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 28 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 29 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 30 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 31 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 32 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 33 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 34 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 35 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 36 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 37 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 38 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 39 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 40 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 41 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 42 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 43 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 44 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 45 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 46 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 47 |  511/1024 |    50.1% | Hessian: 0.096080
 Group 48 | 1867/2048 |     8.8% | Hessian: 0.103555
 Group 49 | 1867/2048 |     8.8% | Hessian: 0.103555
 Group 50 | 1867/2048 |     8.8% | Hessian: 0.103555

[Scientific Metrics] 🟢 Size: 201.18MB | 🔵 Sparsity: 9.37% | 🟡 Speedup: 1.10x
=========================================================================================


[Scientific Metrics - Epoch 40]
 🟢 Model Size: 221.98 MB -> 201.18 MB
 🔵 Sparsity: 25.98 %
 🟡 Speedup: 1.10x
💾 Checkpoint saved: resnet152_pdt_ep40_sp25.98.pth
Epoch 40/200 | Loss: 0.7978 | Val Acc: 62.93% | Peak VRAM: 15868.99 MB
Epoch 41/200 | Loss: 0.7627 | Val Acc: 64.39% | Peak VRAM: 3893.78 MB
Epoch 42/200 | Loss: 0.7296 | Val Acc: 64.73% | Peak VRAM: 3893.78 MB
Epoch 43/200 | Loss: 0.7124 | Val Acc: 64.43% | Peak VRAM: 3893.78 MB
Epoch 44/200 | Loss: 0.7041 | Val Acc: 61.89% | Peak VRAM: 3893.78 MB
Epoch 45/200 | Loss: 0.6881 | Val Acc: 64.11% | Peak VRAM: 3893.78 MB
Epoch 46/200 | Loss: 0.6741 | Val Acc: 65.82% | Peak VRAM: 3893.78 MB
Epoch 47/200 | Loss: 0.6555 | Val Acc: 67.43% | Peak VRAM: 3893.78 MB
Epoch 48/200 | Loss: 0.6462 | Val Acc: 67.16% | Peak VRAM: 3893.78 MB
Epoch 49/200 | Loss: 0.6447 | Val Acc: 64.59% | Peak VRAM: 3893.78 MB

[DEBUG] >>> PRUNING @ Epoch 50

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 50/200

============================== PDT Pruning Report: Epoch 50 ==============================
 [*] Pruned this step: 2 units | VRAM: 4140.3MB -> 4140.3MB
 Group  1 |  256/ 256 |     0.0% | Hessian: 0.101602
 Group  2 |  256/ 256 |     0.0% | Hessian: 0.101602
 Group  3 |  256/ 256 |     0.0% | Hessian: 0.101602
 Group  4 |  511/ 512 |     0.2% | Hessian: 0.065566
 Group  5 |  511/ 512 |     0.2% | Hessian: 0.065566
 Group  6 |  511/ 512 |     0.2% | Hessian: 0.065566
 Group  7 |  511/ 512 |     0.2% | Hessian: 0.065566
 Group  8 |  511/ 512 |     0.2% | Hessian: 0.065566
 Group  9 |  511/ 512 |     0.2% | Hessian: 0.065566
 Group 10 |  511/ 512 |     0.2% | Hessian: 0.065566
 Group 11 |  511/ 512 |     0.2% | Hessian: 0.065566
 Group 12 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 13 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 14 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 15 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 16 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 17 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 18 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 19 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 20 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 21 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 22 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 23 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 24 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 25 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 26 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 27 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 28 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 29 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 30 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 31 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 32 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 33 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 34 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 35 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 36 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 37 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 38 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 39 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 40 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 41 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 42 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 43 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 44 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 45 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 46 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 47 |  511/1024 |    50.1% | Hessian: 0.003862
 Group 48 | 1867/2048 |     8.8% | Hessian: 0.080330
 Group 49 | 1867/2048 |     8.8% | Hessian: 0.080330
 Group 50 | 1867/2048 |     8.8% | Hessian: 0.080330

[Scientific Metrics] 🟢 Size: 201.18MB | 🔵 Sparsity: 9.37% | 🟡 Speedup: 1.10x
=========================================================================================


[Scientific Metrics - Epoch 50]
 🟢 Model Size: 221.98 MB -> 201.18 MB
 🔵 Sparsity: 25.98 %
 🟡 Speedup: 1.10x
💾 Checkpoint saved: resnet152_pdt_ep50_sp25.98.pth
Epoch 50/200 | Loss: 0.6327 | Val Acc: 66.84% | Peak VRAM: 15869.24 MB
Epoch 51/200 | Loss: 0.6196 | Val Acc: 66.97% | Peak VRAM: 3895.78 MB
Epoch 52/200 | Loss: 0.6178 | Val Acc: 65.30% | Peak VRAM: 3895.78 MB
Epoch 53/200 | Loss: 0.6098 | Val Acc: 66.69% | Peak VRAM: 3895.78 MB
Epoch 54/200 | Loss: 0.5980 | Val Acc: 67.09% | Peak VRAM: 3895.78 MB
Epoch 55/200 | Loss: 0.5863 | Val Acc: 65.74% | Peak VRAM: 3895.78 MB
Epoch 56/200 | Loss: 0.5851 | Val Acc: 66.45% | Peak VRAM: 3895.78 MB
Epoch 57/200 | Loss: 0.5928 | Val Acc: 66.35% | Peak VRAM: 3895.78 MB
Epoch 58/200 | Loss: 0.5807 | Val Acc: 65.73% | Peak VRAM: 3895.78 MB
Epoch 59/200 | Loss: 0.5779 | Val Acc: 65.29% | Peak VRAM: 3895.78 MB

[DEBUG] >>> PRUNING @ Epoch 60

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 60/200

============================== PDT Pruning Report: Epoch 60 ==============================
 [*] Pruned this step: 5747 units | VRAM: 4142.8MB -> 4142.8MB
 Group  1 |  255/ 256 |     0.4% | Hessian: 0.140271
 Group  2 |  255/ 256 |     0.4% | Hessian: 0.140271
 Group  3 |  255/ 256 |     0.4% | Hessian: 0.140271
 Group  4 |  508/ 512 |     0.8% | Hessian: 0.048990
 Group  5 |  508/ 512 |     0.8% | Hessian: 0.048990
 Group  6 |  508/ 512 |     0.8% | Hessian: 0.048990
 Group  7 |  508/ 512 |     0.8% | Hessian: 0.048990
 Group  8 |  508/ 512 |     0.8% | Hessian: 0.048990
 Group  9 |  508/ 512 |     0.8% | Hessian: 0.048990
 Group 10 |  508/ 512 |     0.8% | Hessian: 0.048990
 Group 11 |  508/ 512 |     0.8% | Hessian: 0.048990
 Group 12 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 13 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 14 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 15 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 16 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 17 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 18 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 19 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 20 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 21 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 22 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 23 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 24 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 25 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 26 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 27 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 28 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 29 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 30 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 31 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 32 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 33 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 34 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 35 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 36 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 37 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 38 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 39 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 40 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 41 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 42 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 43 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 44 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 45 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 46 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 47 |  478/1024 |    53.3% | Hessian: 0.056281
 Group 48 | 1853/2048 |     9.5% | Hessian: 0.089946
 Group 49 | 1853/2048 |     9.5% | Hessian: 0.089946
 Group 50 | 1853/2048 |     9.5% | Hessian: 0.089946

[Scientific Metrics] 🟢 Size: 199.82MB | 🔵 Sparsity: 9.98% | 🟡 Speedup: 1.11x
=========================================================================================


[Scientific Metrics - Epoch 60]
 🟢 Model Size: 221.98 MB -> 199.82 MB
 🔵 Sparsity: 27.67 %
 🟡 Speedup: 1.11x
💾 Checkpoint saved: resnet152_pdt_ep60_sp27.67.pth
Epoch 60/200 | Loss: 0.5884 | Val Acc: 65.17% | Peak VRAM: 15872.49 MB
Epoch 61/200 | Loss: 0.5809 | Val Acc: 64.99% | Peak VRAM: 3897.78 MB
Epoch 62/200 | Loss: 0.5811 | Val Acc: 65.36% | Peak VRAM: 3897.78 MB
Epoch 63/200 | Loss: 0.5781 | Val Acc: 67.61% | Peak VRAM: 3897.78 MB
Epoch 64/200 | Loss: 0.5787 | Val Acc: 66.30% | Peak VRAM: 3897.78 MB
Epoch 65/200 | Loss: 0.5633 | Val Acc: 67.17% | Peak VRAM: 3897.78 MB
Epoch 66/200 | Loss: 0.5670 | Val Acc: 66.73% | Peak VRAM: 3897.78 MB
Epoch 67/200 | Loss: 0.5619 | Val Acc: 67.44% | Peak VRAM: 3897.78 MB
Epoch 68/200 | Loss: 0.5556 | Val Acc: 65.24% | Peak VRAM: 3897.78 MB
Epoch 69/200 | Loss: 0.5538 | Val Acc: 66.75% | Peak VRAM: 3897.78 MB

[DEBUG] >>> PRUNING @ Epoch 70

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 70/200

============================== PDT Pruning Report: Epoch 70 ==============================
 [*] Pruned this step: 21102 units | VRAM: 4143.1MB -> 4143.1MB
 Group  1 |  254/ 256 |     0.8% | Hessian: 0.123892
 Group  2 |  254/ 256 |     0.8% | Hessian: 0.123892
 Group  3 |  254/ 256 |     0.8% | Hessian: 0.123892
 Group  4 |  505/ 512 |     1.4% | Hessian: 0.031826
 Group  5 |  505/ 512 |     1.4% | Hessian: 0.031826
 Group  6 |  505/ 512 |     1.4% | Hessian: 0.031826
 Group  7 |  505/ 512 |     1.4% | Hessian: 0.031826
 Group  8 |  505/ 512 |     1.4% | Hessian: 0.031826
 Group  9 |  505/ 512 |     1.4% | Hessian: 0.031826
 Group 10 |  505/ 512 |     1.4% | Hessian: 0.031826
